forum_name,forum_href
Announcements,/forums/announcements.2/
Intro,/forums/intro.23/
What's my personality type?,/forums/whats-my-personality-type.50/
Myers Briggs Forum,/forums/myers-briggs-forum.49/
Cognitive Functions,/forums/cognitive-functions.103/
Socionics Forum,/forums/socionics-forum.112/
Enneagram Personality Theory Forum,/forums/enneagram-personality-theory-forum.51/
The Generations,/forums/the-generations.98/
Other Personality Theories,/forums/other-personality-theories.314/
Member Polls,/forums/member-polls.97/
SJ's Temperament Forum- The Overseers,/forums/sjs-temperament-forum-the-overseers.28/
SP's Temperament Forum- The Creators,/forums/sps-temperament-forum-the-creators.29/
NT's Temperament Forum- The Intellects,/forums/nts-temperament-forum-the-intellects.30/
NF's Temperament Forum- The Dreamers,/forums/nfs-temperament-forum-the-dreamers.31/
General Psychology,/forums/general-psychology.45/
The Art Museum,/forums/the-art-museum.33/
"Book, Music, & Movie Reviews",/forums/book-music-movie-reviews.48/
Education & Career Talk,/forums/education-career-talk.47/
Science and Technology,/forums/science-and-technology.102/
Health and Fitness,/forums/health-and-fitness.111/
History Buffs,/forums/history-buffs.467/
Vendor Spotlight! Great Deals for Members,/forums/vendor-spotlight-great-deals-for-members.298/
Advice Center,/forums/advice-center.34/
Private Blogs,/forums/private-blogs.466/
Blog,/forums/blog.345/
